match_id,group,team1,team2,score1,score2,pred_score1,pred_score2,sample_score1,sample_score2,p_home,p_draw,p_away,pred_p_home,pred_p_draw,pred_p_away,mdl_p_home,mdl_p_draw,mdl_p_away,lam_home,lam_away
54,I,Iraq,Norway,0,1,0,1,2,1,0.113,0.178,0.710,0.113,0.178,0.710,0.113,0.178,0.710,0.985,1.469
55,J,Argentina,Algeria,1,0,1,0,2,0,0.671,0.220,0.109,0.671,0.220,0.109,0.671,0.220,0.109,1.733,0.667
56,J,Argentina,Austria,1,0,1,0,4,1,0.604,0.236,0.160,0.604,0.236,0.160,0.604,0.236,0.160,1.679,0.678
57,J,Argentina,Jordan,1,0,1,0,1,1,0.766,0.159,0.075,0.766,0.159,0.075,0.766,0.159,0.075,1.607,0.672
58,J,Algeria,Austria,1,1,1,1,2,1,0.326,0.285,0.390,0.326,0.285,0.390,0.326,0.285,0.390,1.231,1.150
59,J,Algeria,Jordan,1,1,1,1,2,1,0.580,0.249,0.171,0.580,0.249,0.171,0.580,0.249,0.171,1.175,1.156
60,J,Austria,Jordan,1,1,1,1,1,2,0.682,0.202,0.116,0.682,0.202,0.116,0.682,0.202,0.116,1.204,1.138
61,K,Portugal,DR Congo,1,0,1,0,0,0,0.716,0.195,0.089,0.716,0.195,0.089,0.716,0.195,0.089,1.675,0.654
62,K,Portugal,Uzbekistan,1,0,1,0,2,0,0.735,0.184,0.082,0.735,0.184,0.082,0.735,0.184,0.082,1.422,0.819
63,K,Portugal,Colombia,1,1,1,1,2,2,0.414,0.276,0.310,0.414,0.276,0.310,0.414,0.276,0.310,1.388,1.158
64,K,DR Congo,Uzbekistan,0,0,0,0,0,1,0.401,0.293,0.306,0.401,0.293,0.306,0.401,0.293,0.306,0.755,0.950
65,K,DR Congo,Colombia,0,1,0,1,0,2,0.129,0.237,0.634,0.129,0.237,0.634,0.129,0.237,0.634,0.712,1.360
66,K,Uzbekistan,Colombia,0,1,0,1,1,2,0.132,0.229,0.639,0.132,0.229,0.639,0.132,0.229,0.639,0.877,1.150
67,L,England,Croatia,1,0,1,0,3,0,0.558,0.263,0.180,0.558,0.263,0.180,0.558,0.263,0.180,1.429,0.720
68,L,England,Ghana,1,0,1,0,0,0,0.743,0.179,0.078,0.743,0.179,0.078,0.743,0.179,0.078,1.941,0.558
69,L,England,Panama,1,0,1,0,2,1,0.704,0.197,0.100,0.704,0.197,0.100,0.704,0.197,0.100,1.807,0.680
70,L,Croatia,Ghana,1,0,1,0,1,0,0.598,0.240,0.162,0.598,0.240,0.162,0.598,0.240,0.162,1.532,0.772
71,L,Croatia,Panama,1,0,1,0,4,0,0.595,0.251,0.154,0.595,0.251,0.154,0.595,0.251,0.154,1.422,0.940
72,L,Ghana,Panama,1,1,1,1,2,0,0.403,0.280,0.318,0.403,0.280,0.318,0.403,0.280,0.318,1.062,1.271
